Transactions
User,xxxxxxxxxxx,xxxxx
Account,My Wallet,xxxx

Timestamp,Balance,Amount,Currency,To,Notes,Instantly Exchanged,Transfer Total,Transfer Total Currency,Transfer Fee,Transfer Fee Currency,Transfer Payment Method,Transfer ID,Order Price,Order Currency,Order BTC,Order Tracking Code,Order Custom Parameter,Order Paid Out,Recurring Payment ID,Coinbase ID (visit https://www.coinbase.com/transactions/[ID] in your browser),Bitcoin Hash (visit https://www.coinbase.com/tx/[HASH] in your browser for more info)
2019-04-15 20:30:33 -0700,0.01974477,0.01974477,BTC,xxxx,"",false,"","","","","","","","","","","","","",5cb54c593e19440179fd8f16,""
2019-04-15 20:30:33 -0700,0.0,-0.01974477,BTC,37xT93vjCZLidZudE9rXLXmqkdmor87i3A,"",false,"","","","","","","","","","","","","",5cb54c59b5c7940111d4fba9,603ad656b2cf7ea5e7b9965690c75c0882589d3749b29850e18708a35684f5c8
